Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N
Abheri,https://raagtime.com/ragas/abheri,'09-12,S - g - m - P - n - S',S' - n - d - P - m - g - R - S,True,False,True,True,False,True,False,True,True,False,True,False
Abhogi,https://raagtime.com/ragas/abhogi,'21-24,S - R - g - m - D - S',S' - D - m - g - D - g - m - R - S,True,False,True,True,False,True,False,False,False,True,False,False
Adana,https://raagtime.com/ragas/adana,'24-03,S - R - m - P - d - n - S',"S' - d~ - n - P, m - P - g~ - m - R - S",True,False,True,True,False,True,False,True,True,False,True,False
Ahiri,https://raagtime.com/ragas/ahiri,'06-09,S - r - g - m - P - D - n - S',S' - n - D - P - m - g - r - S,True,True,False,True,False,True,False,True,False,True,True,False
Amrit Varshini,https://raagtime.com/ragas/amrit-varshini,'18-21,S - G - M - P - N - S',S' - N - P - M - G - S,True,False,False,False,True,False,True,True,False,False,False,True
Anand Leela,https://raagtime.com/ragas/anand-leela,'06-09,S - R - G - m - P - N - S',S' - N - d - P - m - G - R - S,True,False,True,False,True,True,False,True,True,False,False,True
Araj,https://raagtime.com/ragas/araj,'06-09,"S - r - G, m - P - m - P, D - n - S'","S - r' - S - N, D - P - m - G, r - S",True,True,False,False,True,True,False,True,False,True,True,True
Asa,https://raagtime.com/ragas/asa,'21-24,S - R - m - P - D - S',S' - N - D - P - m - G - R - S,True,False,True,False,True,True,False,True,False,True,False,True
Asavari,https://raagtime.com/ragas/asavari,'09-12,S - R - m - P - d - S',S' - n - d - P - m - g - R - S,True,False,True,True,False,True,False,True,True,False,True,False
"Asavari, Jogi",https://raagtime.com/ragas/asavari-jogi,'09-12,S - r - m - P - d - S',"S' - R - n - d - P, d - P - m - G - (m)r - S",True,True,True,False,True,True,False,True,True,False,True,False
"Asavari, Komal Rishabh",https://raagtime.com/ragas/asavari-komal-rishabh,'09-12,S - r - m - P - d - S',S' - n - d - P - m - g - r - S,True,True,False,True,False,True,False,True,True,False,True,False
"Asavari, Sindhura",https://raagtime.com/ragas/asavari-sindhura,'09-12,S - R - m - P - D - S',"S' - n - D - P, d - m - P - (m)g, R - m - m - g, S - R - S",True,False,True,True,False,True,False,True,True,True,True,False
Bageshree,https://raagtime.com/ragas/bageshree,'24-03,S - g - m - D - n - S',"S' - n - D - m - P - D - g, m - g - R - S",True,False,True,True,False,True,False,True,False,True,True,False
"Bageshree, Audav",https://raagtime.com/ragas/bageshree-audav,'21-24,S - g - m - D - n - S',S' - n - D - m - g - S,True,False,False,True,False,True,False,False,False,True,True,False
Bahar,https://raagtime.com/ragas/bahar,'24-03,"'n - S - m, - P - g - m - n - D - N - S'","S' - n - P, - m - P - g - m - R - S",True,False,True,True,False,True,False,True,False,True,True,True
"Bahar, Bageshree",https://raagtime.com/ragas/bahar-bageshree,'21-24,S - g - m - D - n - D - S',"S - n - D - m, P - (P)g, m - g - R - S",True,False,True,True,False,True,False,True,False,True,True,False
"Bahar, Basant",https://raagtime.com/ragas/bahar-basant,'24-03,"S - G, M - G, M - n - D - S'","D - n - S' - n - P, M - G, M - G, M - G - r - S",True,True,False,False,True,False,True,True,False,True,True,False
"Bahar, Bhairav",https://raagtime.com/ragas/bahar-bhairav,'06-09,"S - r - G - m - P - m, m - D - n - S' - N - r' - S'","S' - n - D - P - m - G - R, g - r - S - 'N - r - S, 'N - D - S",True,True,True,True,True,True,False,True,False,True,True,True
"Bahar, Hindol",https://raagtime.com/ragas/bahar-hindol,'03-06,"S - G - M - G, m - P - G - m, n - D - S'","S - n - P - m - P - G - m, S - D - M - G, M - G - S",True,False,False,False,True,True,True,True,False,True,True,False
"Bahar, Kanada",https://raagtime.com/ragas/bahar-kanada,'21-24,"S - m, m - P - (m)g - m, n - d - N - S'",R' - N - S' - (S)D - n - P - m - P - g - m - R - S,True,False,True,True,False,True,False,True,True,True,True,True
"Bahar, Kedar",https://raagtime.com/ragas/bahar-kedar,'18-21,S - R - S - m - P - g - m - P - S',S' - R' - S - N - D - P - m - P - m - g - m - g - m - P - g - m - R - S - R - S,True,False,True,True,False,True,False,True,False,True,False,True
"Bahar, Paraj",https://raagtime.com/ragas/bahar-paraj,'03-06,"'N - S, - G - M - P - d, P, n - D - N - S'","S' - r' - g' - r', S - N - d - P, m - G, M - G - r - S",True,True,False,True,True,True,True,True,True,True,True,True
"Bahar, Rageshree",https://raagtime.com/ragas/bahar-rageshree,'21-24,"S - G - m - D - G - m, m - D - N - S'","S' - D - n - P, m - P - (m)g - m, (D)G - m, (G) - R - S",True,False,True,True,True,True,False,True,False,True,True,True
"Bahar, Sindhu",https://raagtime.com/ragas/bahar-sindhu,'18-21,"S - m, m - P - (m)g - m, m - P - D - S'","R' - N - S' - n - D, P, m - P - n - P - (m)g - m, R - S - R - S",True,False,True,True,False,True,False,True,False,True,True,True
Barwa,https://raagtime.com/ragas/barwa,'09-12,S - R - m - P - N - S',S' - n - D - P - D - m - G - R - g - S,True,False,True,True,True,True,False,True,False,True,True,True
Basant,https://raagtime.com/ragas/basant,'03-06,S - G - M - d - N - S',"S' - N - d - P - M - G, M - G - r - S",True,True,False,False,True,False,True,True,True,False,False,True
"Basant, Gambhir",https://raagtime.com/ragas/basant-gambhir,'06-09,"S - m - g - M - r - g - m - P, n - D - n - P - S'",S' - d - P - m - R - S,True,True,True,True,False,True,True,True,True,True,True,False
"Basant, Kanak",https://raagtime.com/ragas/basant-kanak,'24-03,S - R - m - P - n - S',S' - n - P - m - g - R - m - g - S,True,False,True,True,False,True,False,True,False,False,True,False
Basant Mukhari,https://raagtime.com/ragas/basant-mukhari,'06-09,S - r - G - m - P - d - n - S',S' - n - d - P - m - G - r - S,True,True,False,False,True,True,False,True,True,False,True,False
Basant Pancham,https://raagtime.com/ragas/basant-pancham,'24-03,S - G - M - d - N - S',"S' - N - d - P, M - m - G, M - G - r - S",True,True,False,False,True,True,True,True,True,False,False,True
Bengali,https://raagtime.com/ragas/bengali,Monsoon,S - R - m - P - D - S',R' - N - P - D - m - P - G - S,True,False,True,False,True,True,False,True,False,True,False,True
Bhairav,https://raagtime.com/ragas/bhairav,'06-09,S - r - G - m - P - d - N - S',S' - N - d - P - m - G - r - S,True,True,False,False,True,True,False,True,True,False,False,True
"Bhairav, Ahir",https://raagtime.com/ragas/bhairav-ahir,'06-09,S - r - G - m - P - D - n - S',S' - n - D - P - m - G - r - S,True,True,False,False,True,True,False,True,False,True,True,False
"Bhairav, Anand",https://raagtime.com/ragas/bhairav-anand,'06-09,"S - r - G - m - P - m, P - S'",S' - D - n - P - m - G - m - r - S,True,True,False,False,True,True,False,True,False,True,True,False
"Bhairav, Bairagi",https://raagtime.com/ragas/bhairav-bairagi,'06-09,S - r - m - P - n - S,S - n - P - m - r - S,True,True,False,False,False,True,False,True,False,False,True,False
"Bhairav, Bangal",https://raagtime.com/ragas/bhairav-bangal,'06-09,"S - r, G - m - P - d, S'","S' - d - P - m - P - G - m, r - S",True,True,False,False,True,True,False,True,True,False,False,False
"Bhairav, Hijaj",https://raagtime.com/ragas/bhairav-hijaj,'06-09,S - R - G - m - P - d - n - S',S' - n - d - P - m - G - m - P - r - S',True,True,True,False,True,True,False,True,True,False,True,False
