Raag Name,URL,Time,Aaroh,Avroh,Thaat,Vadi,Samvadi,S,r,R,g,G,m,M,P,d,D,n,N
BhankarAlso known asBhankhar,http://www.soundofindia.com/raaga_details.asp?raaga=12,8 (3 am - 6 am),"'N-r-S,G-m-P,G-M-D-M-G,M-D-S""Nr'S'","S'-r'-N-D,M-m-G,m-G-r-S",Bhairav,,S,True,True,False,False,True,True,True,True,False,True,False,True
Asavari,http://www.soundofindia.com/raaga_details.asp?raaga=4,2 (9 am - 12 pm),S-R-m-P-d-S',S'-n-d-P-m-g-R-S,,P,g,True,False,True,True,False,True,False,True,True,False,True,False
Bairagi BhairavAlso known asBairagi,http://www.soundofindia.com/raaga_details.asp?raaga=7,,S-r-m-P-n-S',S'-n-P-m-r-S,Bhairav,r,S,True,True,False,False,False,True,False,True,False,False,True,False
Bhoopal Todi,http://www.soundofindia.com/raaga_details.asp?raaga=18,2 (9 am - 12 pm),S-r-g-P-d-S',S'-d-P-g-rgr-S,Bhairav,,g,True,True,False,True,False,False,False,True,True,False,False,False
Basant MukhariAlso known asvasant Mukhari,http://www.soundofindia.com/raaga_details.asp?raaga=9,,S-r-G-m-P-d-n-S',S'-n-d-P-m-G-r-S,,m,S,True,True,False,False,True,True,False,True,True,False,True,False
BasantAlso known asVasant,http://www.soundofindia.com/raaga_details.asp?raaga=8,8 (3 am - 6 am),S-G-M-d-r'-S',S'-N-d-P-M-G-M-G-r-S,Purvi,,P,True,True,False,False,True,False,True,True,True,False,False,True
Bhairav,http://www.soundofindia.com/raaga_details.asp?raaga=10,1 (6 am - 9 am),S-G-m-P-G-m-d-S,S-N-S-d-P-G-m-P-G-m-r-S,Bhairav,,r,True,True,False,False,True,True,False,True,True,False,False,True
Bhinna ShadjaAlso known asHindoli/Kaushikdhwan,http://www.soundofindia.com/raaga_details.asp?raaga=16,6 (9 pm - 12 am),S-G-m-D-N-S',S'-N-D-m-G-S,Khamaj,,S,True,False,False,False,True,True,False,False,False,True,False,True
Adana,http://www.soundofindia.com/raaga_details.asp?raaga=1,7 (12 am - 3 am),S-R_m-P-nmP-S',S'-dnP-mP-gmRS,Asavari,,P,True,False,True,True,False,True,False,True,True,False,True,False
Bageshri,http://www.soundofindia.com/raaga_details.asp?raaga=5,7 (12 am - 3 am),n-S-g-m-D-n-S,S-n-D-m-P-D-g-m-g-R-S,Kafi,,S,True,False,True,True,False,True,False,True,False,True,True,False
BhatiyarAlso known asBhatihar,http://www.soundofindia.com/raaga_details.asp?raaga=13,8 (3 am - 6 am),"S-r-S,S-m,P-G,M-D-S'","S'-r'-N-D-P,D-P-m,P-G-r-S",Bhairav,P,S,True,True,False,False,True,True,True,True,False,True,False,True
Bahar,http://www.soundofindia.com/raaga_details.asp?raaga=6,7 (12 am - 3 am),"'n-S-m,m-P-g-m,n-D-N-S'",S'-n-P-m-P-g-m-R-S,Kafi,,S,True,False,True,True,False,True,False,True,False,True,True,True
Ahir Bhairav,http://www.soundofindia.com/raaga_details.asp?raaga=2,1 (6 am - 9 am),S-r-G-m-P-GmD-n-S',S'-n-D-P-m-G-r-S-'n-r-S,Bhairav,P,S,True,True,False,False,True,True,False,True,False,True,True,False
Bhimpalasi,http://www.soundofindia.com/raaga_details.asp?raaga=15,4 (3 pm - 6 pm),n-S-g-m-P-n-S,"S-n-D-P, D-m-P-g, m-g-R-S",Kafi,,S,True,False,True,True,False,True,False,True,False,True,True,False
Bhairavi,http://www.soundofindia.com/raaga_details.asp?raaga=11,1 (6 am - 9 am),S-r-g-m-P-d-n-S,S-n-d-P-m-g-r-S,Bhairav,,S,True,True,False,True,False,True,False,True,True,False,True,False
BhoopaliAlso known asBhoop,http://www.soundofindia.com/raaga_details.asp?raaga=17,5 (6 pm - 9 pm),S-R-G-P-D-S,S-D-P-G-R-S,Kalyan,P,D,True,False,True,False,True,False,False,True,False,True,False,False
Chhayanat,http://www.soundofindia.com/raaga_details.asp?raaga=26,6 (9 pm - 12 am),S-R-RGmP-PDPP-S',S'-NDP-mGmR-S,Kalyan,,R,True,False,True,False,True,True,False,True,False,True,False,True
Deshkar,http://www.soundofindia.com/raaga_details.asp?raaga=29,1 (6 am - 9 am),S-R-G-P-D-S',S'-D-P-G-R-S,Bilawal,P,G,True,False,True,False,True,False,False,True,False,True,False,False
BilawalAlso known asAlhaiya Bilaval,http://www.soundofindia.com/raaga_details.asp?raaga=21,2 (9 am - 12 pm),S-GR-GP-DN-S',"S'N-DP,DnDP,mG-mR-S",Bilawal,P,G,True,False,True,False,True,True,False,True,False,True,True,True
Bilaskhani TodiAlso known asVilaskhani Todi,http://www.soundofindia.com/raaga_details.asp?raaga=20,2 (9 am - 12 pm),S-r-g-P-d-S',S'-r'-n-d-m--g-rgr-S,Bhairav,,g,True,True,False,True,False,True,False,True,True,False,True,False
Chandani Kedar,http://www.soundofindia.com/raaga_details.asp?raaga=22,,"S-m,M-M-P,D-N-S'","S'-N-D-P,D-P-M,mR-S",Kalyan,P,S,True,False,True,False,False,True,True,True,False,True,False,True
Chandrakauns,http://www.soundofindia.com/raaga_details.asp?raaga=24,6 (9 pm - 12 am),"S-g-m-d-N,dNS'-R'-S'",S'-N-d-m-g-m-g-S-'N-S,,,S,True,False,True,True,False,True,False,False,True,False,False,True
Bihag,http://www.soundofindia.com/raaga_details.asp?raaga=19,5 (6 pm - 9 pm),N-S-G-m-P-N-S,S-N-(D)-P-M-P-G-m-G-R-S,Kalyan,N,N,True,False,True,False,True,True,True,True,False,True,False,True
Dhani,http://www.soundofindia.com/raaga_details.asp?raaga=32,,'n-S-g-m-P-n-S',"S'-n-P-m-g,m-G-R-S",Kafi,P,n,True,False,True,True,True,True,False,True,False,False,True,False
Darbari,http://www.soundofindia.com/raaga_details.asp?raaga=27,6 (9 pm - 12 am),"S-R-g, m-P-d, n-S","S-d-n-m-P, m-P-n-g-m-R-S",Asavari,,P,True,False,True,True,False,True,False,True,True,False,True,False
Gara,http://www.soundofindia.com/raaga_details.asp?raaga=34,,S-G-m-P-D-N-S',S'-n-D-P-m-G-R-g-R-S,Khamaj,,N,True,False,True,True,True,True,False,True,False,True,True,True
Durga,http://www.soundofindia.com/raaga_details.asp?raaga=33,6 (9 pm - 12 am),S-R-m-P-D-S',"S'-D,mPDm-R,'D-S",Bilawal,P,R,True,False,True,False,False,True,False,True,False,True,False,False
Desh,http://www.soundofindia.com/raaga_details.asp?raaga=28,5 (6 pm - 9 pm),S-R-m-P-N-S',S'-n-D-P-m-G-R-G-'N-S,Khamaj,,P,True,False,True,False,True,True,False,True,False,True,True,True
Desi,http://www.soundofindia.com/raaga_details.asp?raaga=30,2 (9 am - 12 pm),S-R-m-P-D-m-P-S',S'-P-D-m-P-R-g-S-R-'n-S,Asavari,,S,True,False,True,True,False,True,False,True,False,True,True,False
Charukeshi,http://www.soundofindia.com/raaga_details.asp?raaga=25,,S-R-G-m-P-d-n-S',S'-n-d-P-m-G-R-S,,,,True,False,True,False,True,True,False,True,True,False,True,False
Gaud Malhar,http://www.soundofindia.com/raaga_details.asp?raaga=35,,"S,RGm,R-P,mPmPDNS'","S',D-n-P,m-P-m,G-m-R-S",Kafi,,S,True,False,True,False,True,True,False,True,False,True,True,True
Hamir,http://www.soundofindia.com/raaga_details.asp?raaga=40,6 (9 pm - 12 am),S-R-G-m-(N)D-N-S',S'-N-D-P-MP-G-m-R-S,Kalyan,,G,True,False,True,False,True,True,True,True,False,True,False,True
Gaud Saarang,http://www.soundofindia.com/raaga_details.asp?raaga=36,3 (12 pm - 3 pm),'N-S-GR-mG-PM-DP-S'',S'-N-D-P-MP-mG-RG-Rm-GP-R-S,Kalyan,,d,True,False,True,False,True,True,True,True,False,True,False,True
Kafi,http://www.soundofindia.com/raaga_details.asp?raaga=48,5 (6 pm - 9 pm),S-R-g-m-P-D-n-S,S-n-D-P-m-g-R-S,Kafi,,,True,False,True,True,False,True,False,True,False,True,True,False
Hindol,http://www.soundofindia.com/raaga_details.asp?raaga=42,8 (3 am - 6 am),S-G-M-D-NMD-S',"S'-D,MDND-MG-MG-S",Kalyan,,G,True,False,False,False,True,False,True,False,False,True,False,True
JogiyaAlso known asJogi,http://www.soundofindia.com/raaga_details.asp?raaga=47,1 (6 am - 9 am),S-r-m-P-d-S',"S'-N-d-P,d-n-d-P,m-(G)r-S",Bhairav,d,m,True,True,False,False,True,True,False,True,True,False,True,True
Hansdhwani,http://www.soundofindia.com/raaga_details.asp?raaga=41,5 (6 pm - 9 pm),S-R-G-P-N-S',S'-N-P-G-R-S,Bilawal,S,P,True,False,True,False,True,False,False,True,False,False,False,True
Gorakh Kalyan,http://www.soundofindia.com/raaga_details.asp?raaga=37,6 (9 pm - 12 am),S-R-m-DnD-DS',"S'-n-D,PDnD,mR,S'n-'D-S",Khamaj,n,m,True,False,True,False,False,True,False,True,False,True,True,False
JanaSammohiniAlso known asShubha-Kalyan,http://www.soundofindia.com/raaga_details.asp?raaga=44,,S-R-G-P-D-n-S',"S'-n-D-P-G-P-G-R,S-'n-'D-S",,,P,True,False,True,False,True,False,False,True,False,True,True,False
Kalavati,http://www.soundofindia.com/raaga_details.asp?raaga=49,6 (9 pm - 12 am),S-G-P-D-n-D-S',S'-n-D-P-G-P-G-S,Khamaj,,S,True,False,False,False,True,False,False,True,False,True,True,False
Jhinjhoti,http://www.soundofindia.com/raaga_details.asp?raaga=46,6 (9 pm - 12 am),S-R-m-P-D-S,S-n-D-P-D-m-G-S-R-m-G-S-R-n-D-P-D-S,Khamaj,,P,True,False,True,False,True,True,False,True,False,True,True,False
Jaijaiwanti,http://www.soundofindia.com/raaga_details.asp?raaga=43,5 (6 pm - 9 pm),S-R-G-m-P-m-G-m-P-N-S',S'-n-D-P-m-G-R-g-R-S,Khamaj,,P,True,False,True,True,True,True,False,True,False,True,True,True
Gurjari Todi,http://www.soundofindia.com/raaga_details.asp?raaga=39,2 (9 am - 12 pm),S-r-g-M-d-N-S',S'-N-d-M-g-rg-rS,Todi,,g,True,True,False,True,False,False,True,False,True,False,False,True
Gunakri,http://www.soundofindia.com/raaga_details.asp?raaga=38,1 (6 am - 9 am),S-r-m-P-d-S',S'-d-P-m-r-S,Bhairav,m,P,True,True,False,False,False,True,False,True,True,False,False,False
Jaunpuri,http://www.soundofindia.com/raaga_details.asp?raaga=45,2 (9 am - 12 pm),"S-R-m-P,dm,PdnS'","S'-n-d-P,d-m-P,g-R-S",Asavari,n,P,True,False,True,True,False,True,False,True,True,False,True,False
Kalingada,http://www.soundofindia.com/raaga_details.asp?raaga=50,8 (3 am - 6 am),"S-r-G-m-P,P-d-N-S'","S'-N-d-P,m-P-d-P-m-G,m-G-r-S",Bhairav,G,S,True,True,False,False,True,True,False,True,True,False,False,True
Kamod,http://www.soundofindia.com/raaga_details.asp?raaga=51,5 (6 pm - 9 pm),"S-R-P,MPDP-S'","S""-D-P,MPDP,R-P,GmPGmRs",Kalyan,,R,True,False,True,False,True,True,True,True,False,True,False,False
Marwa,http://www.soundofindia.com/raaga_details.asp?raaga=64,4 (3 pm - 6 pm),"'N-r-G-M-D-,N-D-S'","N-r'-ND,M-G-r,'N-'D-S",Marwa,,D,True,True,False,False,True,False,True,False,False,True,False,True
Malkauns PanchamAlso known asPancham Malkaus,http://www.soundofindia.com/raaga_details.asp?raaga=60,6 (9 pm - 12 am),n-S-g-m-d-n-S,"S'-n-d-n-d-m,S-g-m-d-P-m,g-m-g-S",Bhairav,d,S,True,False,False,True,False,True,False,True,True,False,True,False
Malgunji,http://www.soundofindia.com/raaga_details.asp?raaga=58,2 (9 am - 12 pm),S-R-G-m-D-N-S',"S'-n-D-P-m-G,m-g-R-S",Kafi,,S,True,False,True,True,True,True,False,True,False,True,True,True
MalharAlso known asMiyaki Malhar,http://www.soundofindia.com/raaga_details.asp?raaga=98,6 (9 pm - 12 am),"S-R-P,mPnD-N-S'","S'-D-n-P-m-P,gmRS-'n-'D-'N-S",Kafi,,S,True,False,True,True,False,True,False,True,False,True,True,True
Lalit,http://www.soundofindia.com/raaga_details.asp?raaga=55,8 (3 am - 6 am),"N-r-G-m-M-m, G-M-d-N-S","S-N-r-N-d-M-d-M-m, G-M-G-r-S",Purvi,d,S,True,True,False,False,True,True,True,False,True,False,False,True
Madhyamad SarangAlso known asMadhymadi Sarang,http://www.soundofindia.com/raaga_details.asp?raaga=57,2 (9 am - 12 pm),'n-S-R-m-P-n-S',"S'-n-P-m-R-m-R,'n-S",Kafi,,P,True,False,True,False,False,True,False,True,False,False,True,False
Mand,http://www.soundofindia.com/raaga_details.asp?raaga=61,5 (6 pm - 9 pm),S-G-m-P-D-N-S',"S',S'-N-D-P-D,P-N-D-P,G-m-G-R-S",Bilawal,,,True,False,True,False,True,True,False,True,False,True,False,True
Kedar,http://www.soundofindia.com/raaga_details.asp?raaga=52,6 (9 pm - 12 am),"S-M-P, M-P-D-n-D-P-S","S-D-n-D-P, M-P-D-P-m,S-R-S",Kalyan,,S,True,False,True,False,False,True,True,True,False,True,True,False
Khamaj,http://www.soundofindia.com/raaga_details.asp?raaga=53,5 (6 pm - 9 pm),S-G-m-P-D-N-S',S'-n-D-P-m-G-RS,Khamaj,,N,True,False,True,False,True,True,False,True,False,True,True,True
Kirwani,http://www.soundofindia.com/raaga_details.asp?raaga=54,,S-R-g-m-P-d-N-S',S'-N-d-P-m-g-R-S,,,,True,False,True,True,False,True,False,True,True,False,False,True
Malkauns,http://www.soundofindia.com/raaga_details.asp?raaga=59,6 (9 pm - 12 am),n-S-g-m-d-n-S,S-n-d-n-d-m-g-m-g-S-n-S,Bhairav,d,S,True,False,False,True,False,True,False,False,True,False,True,False
Maru Bihag,http://www.soundofindia.com/raaga_details.asp?raaga=63,4 (3 pm - 6 pm),'N-S-G-M-P-N-S',S'-N-D-P-M-G-M-G-R-S-m-G-P-M-G-M-G-R-S,Kalyan,P,N,True,False,True,False,True,True,True,True,False,True,False,True
MadhuvantiAlso known asAmbika,http://www.soundofindia.com/raaga_details.asp?raaga=56,3 (12 pm - 3 pm),'N-S-g-M-P-N-S',S'-N-D-P-Mg-Mg-R-S,Todi,,S,True,False,True,True,False,False,True,True,False,True,False,True
Nat Bhairav,http://www.soundofindia.com/raaga_details.asp?raaga=70,,S-R-G-m-P-d-N-S',S'-N-d-P-m-G-R-S,Bhairav,,S,True,False,True,False,True,True,False,True,True,False,False,True
NandAlso known asAnandi,http://www.soundofindia.com/raaga_details.asp?raaga=68,6 (9 pm - 12 am),"S-G-m,P-D-N-P,S'","S'NDPMP,G-m-D-P-(m)R-S,G-m",Kalyan,m,P,True,False,True,False,True,True,True,True,False,True,False,True
Miyan MalharAlso known asMalhar,http://www.soundofindia.com/raaga_details.asp?raaga=66,,"S-R-P,m-P-n-D-N-S'",S'-n-P-g-m-R-S,Kafi,,P,True,False,True,True,False,True,False,True,False,True,True,True
Shankara,http://www.soundofindia.com/raaga_details.asp?raaga=81,5 (6 pm - 9 pm),S-GR-G-P-N-DS',S'-N-DP-G-P-RG-RS,Bilawal,,S,True,False,True,False,True,False,False,True,False,True,False,True
Puriya Dhanashri,http://www.soundofindia.com/raaga_details.asp?raaga=78,4 (3 pm - 6 pm),'N-r-G-M-d-N-r'-S',"r'-N-d-P,M-G-M-r-G-r-S",Purvi,,r,True,True,False,False,True,False,True,True,True,False,False,True
PatdeepAlso known asPatadeep,http://www.soundofindia.com/raaga_details.asp?raaga=74,3 (12 pm - 3 pm),'N-S-g-m-P-n-S',"S'-N-D-P-m-g-R-S-'N,S-(m)g-R-S",,,S,True,False,True,True,False,True,False,True,False,True,True,True
Puriya,http://www.soundofindia.com/raaga_details.asp?raaga=77,1 (6 am - 9 am),"'N-r-G-M-D-N,D-N-r'-S'","N-r'-N,D-N,M-D,G-M-G,M-G-r-S",Marwa,,N,True,True,False,False,True,False,True,False,False,True,False,True
Sham Kalyan,http://www.soundofindia.com/raaga_details.asp?raaga=96,5 (6 pm - 9 pm),'N-S-R-M-P-N-S',S'-N-D-P-M-P-G-m-R-S,Kalyan,S,P,True,False,True,False,True,True,True,True,False,True,False,True
Multani,http://www.soundofindia.com/raaga_details.asp?raaga=67,4 (3 pm - 6 pm),'N-S-g-M-P-N-S',S'-N-d-P-Mg-Mg-®-S,Todi,,S,True,False,False,True,False,False,True,True,True,False,False,True
Poorvi,http://www.soundofindia.com/raaga_details.asp?raaga=76,4 (3 pm - 6 pm),'N-r-G-M-d-N-S',"S'-N-d-P-M-G-m-G,M-G-r-S",Purvi,,N,True,True,False,False,True,True,True,True,True,False,False,True
RageshriAlso known asRageshwari,http://www.soundofindia.com/raaga_details.asp?raaga=79,6 (9 pm - 12 am),n-S-G-m-D-n-S,S-n-D-G-m-R-S,Khamaj,,S,True,False,True,False,True,True,False,False,False,True,True,False
Shri,http://www.soundofindia.com/raaga_details.asp?raaga=83,4 (3 pm - 6 pm),"S-r-P,MPdP-N-S'-r'-S'",S'-r'-N-d-P(M)P-r-G-r-S,Purvi,,P,True,True,False,False,True,False,True,True,True,False,False,True
Piloo,http://www.soundofindia.com/raaga_details.asp?raaga=75,4 (3 pm - 6 pm),'N-S-g-m-P-N-S',S'-n-D-P-d-P-g-S,Kafi,,N,True,False,False,True,False,True,False,True,True,True,True,True
Shivranjani,http://www.soundofindia.com/raaga_details.asp?raaga=82,6 (9 pm - 12 am),S-R-g-P-D-S',"S,-D-P-g-R-S",Kafi,,,True,False,True,True,False,False,False,True,False,True,False,False
Pahadi,http://www.soundofindia.com/raaga_details.asp?raaga=72,5 (6 pm - 9 pm),'P-'D-S-R-G-P-D-S',S'-N-D-P-m-G-R-s-'n-'d-'P-'d-S,Bilawal,,,True,False,True,False,True,True,False,True,True,True,True,True
